MMSID|title_parent|processing_type|processing_rules|processing_options|publication_key|title_code|edition_discriminators|section_codes|sequence_letters|Access|Magazine|ingest_status|Frequency|entity_type|title_mets|ISSN online|Bib ID|Access condition|Date catalogued|Collector_folder|Cataloguer|Notes|first_issue_starting_page|last_issue_starting_page|has_volume_md|has_issue_md|has_number_md|previous_volume|previous_volume_date|previous_volume_frequency|previous_issue|previous_issue_date|previous_issue_frequency|previous_number|previous_number_date|previous_number_frequency|
9914705253502836|Marlborough Express|parent_grouping||numeric_before_alpha|title_code|MAE||ED1||200|0|TEC||PER|Marlborough express||1470525|200|3/06/2016|Marlborough_Express|Andrew R|Papers past. Fairfax updated title code|||0|0|0||||||||||
9917961213502836|Marlborough Midweek|parent_grouping||numeric_before_alpha|title_code|MAM||ED1||200|0|STA||PER|Marlborough midweek|||||Marlborough_Midweek||Fairfax updated title code|||0|0|0||||||||||
9917914353502836|Manawatu Standard|parent_grouping||numeric_before_alpha|title_code|MAS||ED1+TAB+QF+QFS||200|0|STC||PER|Manawatu Standard||1791435|200|16/06/2016|Manawatu_Standard|Andrew E|Fairfax updated title code|||0|0|0||||||||||
9917975663502836|Matamata Chronicle|parent_grouping||numeric_before_alpha|title_code|MMC||ED1+QFS||200|0|STA||PER|Matamata Chronicle||1797566|100-P|24/06/2016|Matamata_Chronicle|Andrew E|Fairfax updated title code|||0|0|0||||||||||
9917982213502836|Waikato Times|parent_grouping||numeric_before_alpha|title_code|MOW||ED1||200|0|STA||PER|Motor Times|||||Motor_Times||Part of Waikato Times (Advertised on Leader). May need to change collector folder name. Fairfax updated title code|||0|0|0||||||||||
9917975923502836|The Nelson Mail|parent_grouping||numeric_before_alpha|title_code|NEM||ED1+TAB+SUM||200|0|STC||PER|Nelson mail||1797592|200|24/06/2016|The_Nelson_Mail|Andrew E|Fairfax updated title code|||0|0|0||||||||||
9917921493502836|North Harbour News|parent_grouping||numeric_before_alpha|title_code|NOH||ED1||200|0|STA||PER|North Harbour News||1792149|100-P|2/06/2016|North_Harbour_News|Christina|Fairfax updated title code|||0|0|0||||||||||
9917961933502836|Northern News|parent_grouping||numeric_before_alpha|title_code|NON||ED1||200|0|STA||PER|Northern News||1796193|100-P|14/06/2016|Northern_News|Christina|Fairfax updated title code|||0|0|0||||||||||
9918190442202836|Northern Outlook|parent_grouping||numeric_before_alpha|title_code|NOO||ED1+QFS||200|0|STA||PER|Northern outlook|||||Northern_Outlook||Fairfax updated title code|||0|0|0||||||||||
9917922613502836|North Shore Times|parent_grouping||numeric_before_alpha|title_code|NOS||ED1+QFS||200|0|STA||PER|North Shore Times|||||North_Shore_Times||Fairfax updated title code|||0|0|0||||||||||
